啊你哪里啊跟你说啊对啊[用户静音]可1吧	-1
呃呃你说嘛对对[用户未说话]嗯还可1吧	-1
[用户静音]方便你说吧1	1
嗯对对对对[用户静音]	1
嗯喂可是呢信息噢什么事嗯	0
谁房北呃贵妃萌iamf433对哪1	0
喂呃安庆对唉呀妈呀	-1
是啊嗯嗯嗯满意啊嗯用手机	1
噢你好喂你好未按键	0
是啊是啊嗯对对	0
啊嗯嗯房子恩07唉对对满意	1
唉方便方便方便1	1
嗯是啊是啊方便方便未按键	1
唉应该找早晨都打过电话来啊说吗喂王仁嗯嗯	0
我是你爷爷你说	0
嗯对嗯现在有事[用户静音]呃对嗯满意非常满意	1
你这1搞自动的有没有人工的	-1
嗯呃方便方便1	1
喂喂笑骂1怔喂对还可1	0
喂嗯你好请说对[用户静音]嗯满意	1
[用户静音]好1	0
呃什么别人都忘了喂	0
啊对喂哪个菜单呢喂然后刚才说熟人怎么我这个钱你们公司搞呢	-1
恩喂怎么走恩光别唉对嗯嗯拜拜南银	0
喂嗯你说喂业务列表	0
无折户是谁啊喂喂喂嗯不满意因为我不认识你要我没有买车我买车子都不会做台了	-1
嗯稍稍瘦变长吗到哎对对对么对对对喂满意满意吗	1
是的方便你说1	1
呃对好好对对满意	1
喂唉干嘛唉喂吗有的	0
喂嗯对呃什么我没听到	-1
这什么事噢我现在可1车子呢对啊	0
打了什么事不方便	-1
是啊方便啊对啊嗯可1啊	1
[用户静音]对1	0
嗯对嗯方便嗯贵a手机号138	1
呃呃方便对对开启	1
喂你好嗯方便呢嗯对嗯对的	1
但是呢喂嗯对啊对我第1次买你们保险公司我也还不知道可1	0
呃方便对对[用户静音]	1
[用户静音]呃如98954哦呃对还不清楚嗯没等待呢	0
嗯嗯房子嗯嗯满意	1
唉谁喂嗯对所1有点掉是吗	0
喂恩那个我因为那个我老公不在家我那个信息我不太清楚嗯对嗯对呵呵这个不是我办的我也不知道噢可1没有	0
呃你好有什么事吗啊你说吧未按键	-1
唉对你看谁回家对啊哎呀嗯	-1
唉方便你讲嘛喂笃定不是主呃不是不是百分之百满意	1
是喂是喂请问你们是干嘛的喂	0
嗯父亲对啊嗯这电话号码送过来啊满意满意	1
唉对然后方便方便讲吗百分之5都不想要还没看到你太好喂嗯对对对会会	-1
嗯恩这会有点忙	0
是的是在城边未按键	-1
唉你好[用户静音]未按键	-1
叫你1直打我电话干嘛啊	-1
估计他们过后谢谢好你好喂	1
怎么啦对的对的[用户静音]满意满意	1
[用户静音]嗯嗯1	0
喂唉嗯嗯好的好的可1	0
你好呃你好方便1	1
啊什么事啊银行什么呀喂你看我找不到啊[用户静音]手机号没什么3	-1
喂什么[用户静音]合肥啊你说你们是哪个公司啊就是你们那个收费太高了	0
对你现在忙着呢下午转	0
为什么喂嗯好干嘛喂那公司了都归	-1
在哪什么信息对啊是啊还可以	0
唉你讲嘛唉2十来十呢进入新华保险	0
啊嗯嗯我已经找不到你心里那时候还	0
啊对我是按方便你说未按键	1
他自己我的银行	0
什么什么有什么事吗喂	-1
你说喂噢还可1	0
啊那可1唉对卖的业务恩嗯嗯噢噢我来干嘛嘞嗯免贵姓袁袁单子来更改了好吗王先生呢	-1
[用户静音]现在所有控呢也没空是多少的时候吗是啊嗯我跟他们	1
喂喂喂1嗯嗯还可1满意	1
没事嗯上那个房子嗯稍后再打过来吧	0
嗯明细嗯嗯呃1	0
喂噜拊对[用户静音]满意	1
什么自己说方便你说未按键	-1
[用户未说话]可1啊方便呃满意	1
是的可以可以讲吧可以可以你说	1
嗯喂你好是的是的嗯嗯满意	1
你好对那个喂对对对136呃还可1吧满意	1
[用户静音]网络支付功能开通	0
